code,pop,name,perc,logperc
0,313914040,UNITED STATES,1.0,0.0
1000,4822023,ALABAMA,0.015360966333331252,-4.175925640915255
1001,55514,"Autauga County, AL",0.00017684459095872234,-8.640239228255664
1003,190790,"Baldwin County, AL",0.0006077778489933104,-7.405701122710837
1005,27201,"Barbour County, AL",8.66511099662825e-05,-9.353620732118028
1007,22597,"Bibb County, AL",7.198467453064539e-05,-9.539057315345827
1009,57826,"Blount County, AL",0.00018420966453109265,-8.599435967923934
1011,10474,"Bullock County, AL",3.336582205752887e-05,-10.30797847359276
1013,20307,"Butler County, AL",6.468968383828898e-05,-9.645908815255476
1015,117296,"Calhoun County, AL",0.0003736564315504971,-7.892173814968825
1017,34064,"Chambers County, AL",0.0001085137829451655,-9.128633361298933
1019,26021,"Cherokee County, AL",8.289211912917307e-05,-9.397970565128782
1021,43819,"Chilton County, AL",0.00013958916906042177,-8.87680695617298
1023,13633,"Choctaw County, AL",4.342908651043451e-05,-10.044381145246064
1025,25161,"Clarke County, AL",8.015251563772044e-05,-9.431579292779672
1027,13435,"Clay County, AL",4.279834059030937e-05,-10.059011227382602
1029,14832,"Cleburne County, AL",4.724860347119231e-05,-9.960087460626557
1031,51252,"Coffee County, AL",0.00016326762574875593,-8.720119827802726
1033,54446,"Colbert County, AL",0.0001734423856925928,-8.659665084661187
1035,12981,"Conecuh County, AL",4.13520847936588e-05,-10.093387719539198
1037,10966,"Coosa County, AL",3.493313010147619e-05,-10.262074892468199
1039,37955,"Covington County, AL",0.00012090889595126105,-9.020473221981325
1041,14083,"Crenshaw County, AL",4.486259996526438e-05,-10.011906073234142
1043,80440,"Cullman County, AL",0.00025624849401447607,-8.269362904545604
1045,50444,"Dale County, AL",0.00016069367270097254,-8.736010659356428
1047,42864,"Dallas County, AL",0.00013654693495072727,-8.898842156647802
1049,71080,"DeKalb County, AL",0.0002264314141540149,-8.393068466163605
1051,80629,"Elmore County, AL",0.0002568505696655046,-8.267016083161673
1053,37994,"Escambia County, AL",0.00012103313378401298,-9.019446216927198
1055,104392,"Etowah County, AL",0.00033254963683688695,-8.00872142529011
1057,16983,"Fayette County, AL",5.4100797785279055e-05,-9.824661625727423
1059,31761,"Franklin County, AL",0.00010117737964189177,-9.198635347420703
1061,26931,"Geneva County, AL",8.579100189338457e-05,-9.363596430007394
1063,8876,"Greene County, AL",2.8275256500155266e-05,-10.473523464379708
1065,15388,"Hale County, AL",4.901978898427098e-05,-9.923286484560007
1067,17287,"Henry County, AL",5.506921576365301e-05,-9.806919695509405
1069,103402,"Houston County, AL",0.0003293959072362612,-8.018250165203021
1071,53019,"Jackson County, AL",0.00016889655524805454,-8.686224129574287
1073,660009,"Jefferson County, AL",0.00210251507068623,-6.164620998158923
1075,14259,"Lamar County, AL",4.542326300537561e-05,-9.999486183150074
1077,92542,"Lauderdale County, AL",0.00029480044919303385,-8.129211873928972
1079,33838,"Lawrence County, AL",0.00010779384063229538,-9.135290038113451
1081,147257,"Lee County, AL",0.0004690997573730694,-7.664695109847925
1083,87654,"Limestone County, AL",0.00027922930748812636,-8.183477223071623
1085,10857,"Lowndes County, AL",3.458590128686184e-05,-10.27206443620034
1087,20535,"Macon County, AL",6.541599732206945e-05,-9.634743722041534
1089,343080,"Madison County, AL",0.001092910657962288,-6.818910813327835
1091,20401,"Marengo County, AL",6.498912887107566e-05,-9.641290550193464
1093,30327,"Marion County, AL",9.660925009916727e-05,-9.244836064610025
1095,94776,"Marshall County, AL",0.00030191704709990033,-8.105358256797597
1097,413936,"Mobile County, AL",0.0013186285009743432,-6.63116309694689
1099,22602,"Monroe County, AL",7.200060245792128e-05,-9.538836071512097
1101,230149,"Montgomery County, AL",0.0007331593069236406,-7.218147544188641
1103,120395,"Morgan County, AL",0.00038352856087609205,-7.8660964656768595
1105,10181,"Perry County, AL",3.243244551916187e-05,-10.336351231324997
1107,19405,"Pickens County, AL",6.18162857577189e-05,-9.691343704629187
1109,33182,"Pike County, AL",0.00010570409657369896,-9.154866909228893
1111,22675,"Randolph County, AL",7.223315019614924e-05,-9.535611473448856
1113,57820,"Russell County, AL",0.0001841905510183616,-8.599539732861857
1115,85237,"St. Clair County, AL",0.0002715297474429624,-8.211438857583241
1117,200941,"Shelby County, AL",0.0006401147269488169,-7.353863136818338
1119,13427,"Sumter County, AL",4.277285590666795e-05,-10.059606864359486
1121,81762,"Talladega County, AL",0.00026045983798622066,-8.253061881454318
1123,41168,"Tallapoosa County, AL",0.00013114418201874627,-8.939213213910667
