date	price
Thu Aug 01 18	13300
Thu Aug 01 19	122183
Thu Aug 01 20	120087
Thu Aug 01 21	117802
Thu Aug 01 22	119929
Thu Aug 01 23	122676
Fri Aug 02 00	132209
Fri Aug 02 01	147805
Fri Aug 02 02	165678
Fri Aug 02 03	172456
Fri Aug 02 04	173043
Fri Aug 02 05	162771
Fri Aug 02 06	131933
Fri Aug 02 07	98381
Fri Aug 02 08	62336
Fri Aug 02 09	37518
Fri Aug 02 10	27473
Fri Aug 02 11	29783
Fri Aug 02 12	41049
Fri Aug 02 13	57412
Fri Aug 02 14	76478
Fri Aug 02 15	94935
Fri Aug 02 16	110759
Fri Aug 02 17	116174
Fri Aug 02 18	119758
Fri Aug 02 19	119403
Fri Aug 02 20	117125
Fri Aug 02 21	115592
Fri Aug 02 22	115822
Fri Aug 02 23	117756
Sat Aug 03 00	123499
Sat Aug 03 01	133742
Sat Aug 03 02	148657
Sat Aug 03 03	159214
Sat Aug 03 04	160019
Sat Aug 03 05	152888
Sat Aug 03 06	107350
Sat Aug 03 18	61301
Sat Aug 03 19	116191
Sat Aug 03 20	114675
Sat Aug 03 21	111671
Sat Aug 03 22	109975
Sat Aug 03 23	117090
Sun Aug 04 00	121818
Sun Aug 04 01	131491
Sun Aug 04 02	144006
Sun Aug 04 03	154954
Sun Aug 04 04	158292
Sun Aug 04 05	55491
Mon Aug 05 04	138622
Mon Aug 05 05	159029
Mon Aug 05 06	125353
Mon Aug 05 07	83492
Mon Aug 05 08	54182
Mon Aug 05 09	33559
Mon Aug 05 10	25305
Mon Aug 05 11	27661
Mon Aug 05 12	36688
Mon Aug 05 13	50802
Mon Aug 05 14	71853
Mon Aug 05 15	93468
Mon Aug 05 16	107345
Mon Aug 05 17	116027
Mon Aug 05 18	116883
Mon Aug 05 19	120333
Mon Aug 05 20	132484
Mon Aug 05 21	120752
Mon Aug 05 22	122757
Mon Aug 05 23	77551
Tue Aug 06 02	18728
Tue Aug 06 03	177916
Tue Aug 06 04	166872
Tue Aug 06 05	164545
Tue Aug 06 06	131440
Tue Aug 06 07	87356
Tue Aug 06 08	52856
Tue Aug 06 09	32758
Tue Aug 06 10	24981
Tue Aug 06 11	27794
Tue Aug 06 12	38981
Tue Aug 06 13	55043
Tue Aug 06 14	75042
Tue Aug 06 15	99573
Tue Aug 06 16	111646
Tue Aug 06 17	117704
Tue Aug 06 18	125405
Tue Aug 06 19	122959
Tue Aug 06 20	120744
Tue Aug 06 21	111417
Tue Aug 06 22	116284
Tue Aug 06 23	126963
Wed Aug 07 00	142310
Wed Aug 07 01	158199
Wed Aug 07 02	170960
Wed Aug 07 03	176733
Wed Aug 07 04	158938
Wed Aug 07 05	89908
Thu Aug 08 04	108223
Thu Aug 08 05	163996
Thu Aug 08 06	128202
Thu Aug 08 07	86922
Thu Aug 08 08	53879
Thu Aug 08 09	32690
Thu Aug 08 10	25375
Thu Aug 08 11	29664
Thu Aug 08 12	40855
Thu Aug 08 13	56724
Thu Aug 08 14	76906
Thu Aug 08 15	100562
Thu Aug 08 16	112678
Thu Aug 08 17	19225
Fri Aug 09 03	120928
Fri Aug 09 04	172183
Fri Aug 09 05	158748
Fri Aug 09 06	127356
Fri Aug 09 07	88706
Fri Aug 09 08	55569
Fri Aug 09 09	33203
Fri Aug 09 10	25402
Fri Aug 09 11	29709
Fri Aug 09 12	41340
Fri Aug 09 13	57977
Fri Aug 09 14	78468
Fri Aug 09 15	105776
Fri Aug 09 16	114732
Fri Aug 09 17	120510
Fri Aug 09 18	123178
Fri Aug 09 19	124743
Fri Aug 09 20	121873
Fri Aug 09 21	119999
Fri Aug 09 22	120383
Fri Aug 09 23	128004
Sat Aug 10 00	137843
Sat Aug 10 01	146652
Sat Aug 10 02	157373
Sat Aug 10 03	164491
Sat Aug 10 04	163267
Sat Aug 10 05	152812
Sat Aug 10 06	42972
Sat Aug 10 23	53115
Sun Aug 11 00	124447
Sun Aug 11 01	136925
Sun Aug 11 02	148218
Sun Aug 11 03	158520
Sun Aug 11 04	156656
Sun Aug 11 05	148730
Sun Aug 11 06	123891
Sun Aug 11 07	91610
Sun Aug 11 08	58686
Sun Aug 11 09	35166
Sun Aug 11 10	21832
Sun Aug 11 11	18908
Sun Aug 11 12	26362
Sun Aug 11 13	43403
Sun Aug 11 14	66682
Sun Aug 11 15	93326
Sun Aug 11 16	109723
Sun Aug 11 17	122069
Sun Aug 11 18	124821
Sun Aug 11 19	124131
Sun Aug 11 20	125955
Sun Aug 11 21	120158
Sun Aug 11 22	124281
Sun Aug 11 23	132118
Mon Aug 12 00	158619
Mon Aug 12 01	171622
Mon Aug 12 02	173767
Mon Aug 12 03	176972
Mon Aug 12 04	169879
Mon Aug 12 05	157577
Mon Aug 12 06	119535
Mon Aug 12 07	78134
Mon Aug 12 08	48786
Mon Aug 12 09	28806
Mon Aug 12 10	23368
Mon Aug 12 11	28538
Mon Aug 12 12	39428
Mon Aug 12 13	52529
Mon Aug 12 14	70468
Mon Aug 12 15	94425
Mon Aug 12 16	108628
Mon Aug 12 17	117512
Mon Aug 12 18	119042
Mon Aug 12 19	120325
Mon Aug 12 20	117152
Mon Aug 12 21	116895
Mon Aug 12 22	120932
Mon Aug 12 23	128359
Tue Aug 13 00	156427
Tue Aug 13 01	166417
Tue Aug 13 02	176397
Tue Aug 13 03	82746
Tue Aug 13 04	163613
Tue Aug 13 05	163162
Tue Aug 13 06	121223
Tue Aug 13 07	83914
Tue Aug 13 08	45558
Tue Aug 13 09	28148
Tue Aug 13 10	24797
Tue Aug 13 11	29566
Tue Aug 13 12	40809
Tue Aug 13 13	55978
Tue Aug 13 14	77132
Tue Aug 13 15	99571
Tue Aug 13 16	113447
Tue Aug 13 17	121951
Tue Aug 13 18	121458
Tue Aug 13 19	120594
Tue Aug 13 20	119226
Tue Aug 13 21	117520
Tue Aug 13 22	122659
Tue Aug 13 23	129601
Wed Aug 14 00	146517
Wed Aug 14 01	160553
Wed Aug 14 02	173519
Wed Aug 14 03	176941
Wed Aug 14 04	2167
