date	price
Thu Aug 01 18:53	1231
Thu Aug 01 18:54	2009
Thu Aug 01 18:55	1970
Thu Aug 01 18:56	2053
Thu Aug 01 18:57	1993
Thu Aug 01 18:58	2004
Thu Aug 01 18:59	2040
Thu Aug 01 19:00	2029
Thu Aug 01 19:01	2096
Thu Aug 01 19:02	1960
Thu Aug 01 19:03	1986
Thu Aug 01 19:04	1931
Thu Aug 01 19:05	1980
Thu Aug 01 19:06	2055
Thu Aug 01 19:07	2024
Thu Aug 01 19:08	1971
Thu Aug 01 19:09	1934
Thu Aug 01 19:10	1905
Thu Aug 01 19:11	2110
Thu Aug 01 19:12	2031
Thu Aug 01 19:13	2068
Thu Aug 01 19:14	2026
Thu Aug 01 19:15	2083
Thu Aug 01 19:16	2030
Thu Aug 01 19:17	2084
Thu Aug 01 19:18	2048
Thu Aug 01 19:19	1959
Thu Aug 01 19:20	2065
Thu Aug 01 19:21	2050
Thu Aug 01 19:22	2089
Thu Aug 01 19:23	2042
Thu Aug 01 19:24	2011
Thu Aug 01 19:25	2066
Thu Aug 01 19:26	2153
Thu Aug 01 19:27	2130
Thu Aug 01 19:28	2149
Thu Aug 01 19:29	2007
Thu Aug 01 19:30	2183
Thu Aug 01 19:31	2065
Thu Aug 01 19:32	1997
Thu Aug 01 19:33	2026
Thu Aug 01 19:34	2096
Thu Aug 01 19:35	2081
Thu Aug 01 19:36	2030
Thu Aug 01 19:37	2030
Thu Aug 01 19:38	1951
Thu Aug 01 19:39	1960
Thu Aug 01 19:40	2060
Thu Aug 01 19:41	2012
Thu Aug 01 19:42	2047
Thu Aug 01 19:43	2056
Thu Aug 01 19:44	2017
Thu Aug 01 19:45	2099
Thu Aug 01 19:46	2069
Thu Aug 01 19:47	2022
Thu Aug 01 19:48	1890
Thu Aug 01 19:49	2017
Thu Aug 01 19:50	2044
Thu Aug 01 19:51	2063
Thu Aug 01 19:52	1995
Thu Aug 01 19:53	2042
Thu Aug 01 19:54	2025
Thu Aug 01 19:55	2048
Thu Aug 01 19:56	2074
Thu Aug 01 19:57	2016
Thu Aug 01 19:58	2066
Thu Aug 01 19:59	2030
Thu Aug 01 20:00	2093
Thu Aug 01 20:01	1958
Thu Aug 01 20:02	2059
Thu Aug 01 20:03	2048
Thu Aug 01 20:04	2081
Thu Aug 01 20:05	1933
Thu Aug 01 20:06	1958
Thu Aug 01 20:07	2062
Thu Aug 01 20:08	2013
Thu Aug 01 20:09	2077
Thu Aug 01 20:10	1954
Thu Aug 01 20:11	1992
Thu Aug 01 20:12	1916
Thu Aug 01 20:13	1985
Thu Aug 01 20:14	2012
Thu Aug 01 20:15	2072
Thu Aug 01 20:16	2052
Thu Aug 01 20:17	2088
Thu Aug 01 20:18	1969
Thu Aug 01 20:19	2031
Thu Aug 01 20:20	2028
Thu Aug 01 20:21	2065
Thu Aug 01 20:22	1977
Thu Aug 01 20:23	2018
Thu Aug 01 20:24	2039
Thu Aug 01 20:25	1977
Thu Aug 01 20:26	2064
Thu Aug 01 20:27	2068
Thu Aug 01 20:28	1956
Thu Aug 01 20:29	2053
Thu Aug 01 20:30	2017
Thu Aug 01 20:31	1974
Thu Aug 01 20:32	1939
Thu Aug 01 20:33	1978
Thu Aug 01 20:34	2028
Thu Aug 01 20:35	2042
Thu Aug 01 20:36	1969
Thu Aug 01 20:37	1994
Thu Aug 01 20:38	1955
Thu Aug 01 20:39	2018
Thu Aug 01 20:40	2029
Thu Aug 01 20:41	2013
Thu Aug 01 20:42	2080
Thu Aug 01 20:43	1928
Thu Aug 01 20:44	1979
Thu Aug 01 20:45	2024
Thu Aug 01 20:46	2041
Thu Aug 01 20:47	2021
Thu Aug 01 20:48	2045
