id	value
46101	0.32785
30043	0.38572
41001	0.41469
41003	0.56402
41005	0.55300
41007	0.60974
41009	0.38519
41011	0.55358
41013	0.28390
41015	0.52235
41017	0.52827
41019	0.58548
42063	0.52366
41021	0.26546
41023	0.33620
41025	0.56975
41027	0.48235
41029	0.58226
41031	0.47522
41033	0.53472
41035	0.37069
41037	0.37036
41039	0.57663
41041	0.51923
41043	0.55731
41045	0.54670
41047	0.63584
41049	0.56748
41051	0.66291
41053	0.57935
41055	0.64367
41057	0.44575
41059	0.70358
41061	0.46562
41063	0.51176
41065	0.46722
41067	0.61253
41071	0.54220
30011	0.44564
56011	0.44367
28103	0.73743
42015	0.52419
46107	0.34120
20193	0.55529
9009	0.66181
30075	0.48906
13101	0.32324
33001	0.69156
33003	0.64162
33005	0.45716
33007	0.51405
33009	0.54569
33011	0.61498
33013	0.53329
33015	0.63088
33017	0.62214
33019	0.38227
46109	0.49302
56027	0.33515
17195	0.56109
56031	0.50439
30091	0.27855
31099	0.18931
30017	0.42831
13105	0.62982
40111	0.59826
54023	0.42923
54013	0.52552
30019	0.70445
30103	0.51616
20199	0.51164
17199	0.61592
31111	0.58870
1105	0.47475
25001	0.76156
25003	0.60796
21225	0.53906
25005	0.64269
25007	0.81562
25009	0.66774
25011	0.53744
25013	0.68977
25015	0.58264
25017	0.64807
25019	0.81673
25021	0.66162
25023	0.68510
25025	0.74811
25027	0.68033
29203	0.52516
11001	0.71630
54027	0.55954
26025	0.72176
20203	0.40881
8053	0.60588
17203	0.49338
54029	0.66030
28115	0.54087
21023	0.61306
46049	0.34006
54031	0.53945
17001	0.43866
17003	0.62687
17005	0.62807
17007	0.65402
17009	0.40561
17011	0.62461
17013	0.41612
17015	0.51322
17017	0.48266
17019	0.69056
17021	0.55635
17023	0.65634
13043	0.55062
17025	0.42211
17027	0.62537
48031	0.64876
17029	0.68644
17031	0.66343
17033	0.51542
17035	0.67000
17037	0.61598
17039	0.54745
17041	0.60886
17043	0.61957
17045	0.52663
17047	0.55802
17049	0.67174
17051	0.45570
17053	0.63505
17055	0.50437
17057	0.40336
23027	0.37783
17059	0.32009
17061	0.37062
17063	0.66251
17065	0.28861
17067	0.40809
17069	0.25250
17071	0.53010
17073	0.74347
17075	0.61260
17077	0.62459
17079	0.29519
17081	0.67749
17083	0.43076
17085	0.46979
17087	0.55531
29211	0.24881
17089	0.60042
17091	0.65144
17093	0.72336
17095	0.58992
17097	0.63713
17099	0.60182
17101	0.53748
17103	0.50433
17105	0.55609
17107	0.61549
17109	0.58194
17111	0.56717
17113	0.58913
17115	0.65437
17117	0.60765
17119	0.66991
17121	0.63098
17123	0.62028
17125	0.56530
17127	0.51471
17129	0.54540
17131	0.54667
17133	0.64728
17135	0.50353
17137	0.47730
17139	0.54139
17141	0.60704
17143	0.71246
17145	0.43535
17147	0.59340
17149	0.48906
17151	0.60520
13119	0.52476
17155	0.70965
17157	0.36620
17159	0.39788
17161	0.65665
17163	0.67367
31123	0.52403
17165	0.61852
17167	0.63124
17169	0.16833
17171	0.21990
17173	0.59507
17177	0.55476
17179	0.63684
17181	0.36898
17183	0.74037
42035	0.40724
17187	0.64813
17189	0.49735
17191	0.49064
9001	0.61941
9003	0.66651
17197	0.68104
9007	0.56883
17201	0.63706
9011	0.67188
9013	0.59172
9015	0.68901
29215	0.27412
22123	0.44897
50001	0.34523
50003	0.57947
50005	0.37481
50007	0.61702
50009	0.51688
50011	0.52504
42037	0.60483
50015	0.54829
50017	0.54304
50019	0.41673
21033	0.68196
50023	0.56918
50025	0.37273
50027	0.43333
54071	0.43528
28127	0.61642
13125	0.46317
22007	0.74495
1065	0.53372
42053	0.16416
1001	0.67865
1003	0.74374
29221	0.58099
1007	0.57358
1009	0.53656
1011	0.78372
1013	0.75013
1015	0.66646
1017	0.71849
1019	0.47000
1021	0.68400
1023	0.58858
1025	0.46612
1027	0.66294
1029	0.48150
1031	0.57998
1033	0.64847
1035	0.58558
1037	0.70390
1039	0.78090
42001	0.59783
42003	0.67913
42005	0.54944
42007	0.73016
42009	0.61568
1051	0.70039
42013	0.50653
1055	0.64254
42017	0.62085
42019	0.58483
42021	0.62135
1063	0.62863
42025	0.62142
42027	0.58616
42029	0.63437
42031	0.63709
42033	0.49839
1075	0.48265
1077	0.69767
1079	0.62830
42041	0.63890
42043	0.75451
1085	0.62527
1087	0.69455
54047	0.50274
1089	0.65700
42051	0.68240
1093	0.53909
1095	0.61369
1097	0.71515
42059	0.59420
42061	0.52566
1103	0.71249
42065	0.48971
42067	0.51240
42069	0.58907
42071	0.60637
42073	0.66887
1115	0.49782
1117	0.59918
42079	0.63775
1121	0.75819
42083	0.55718
42085	0.58917
1127	0.68150
42089	0.71685
42091	0.64067
1133	0.43825
42095	0.64951
42097	0.57154
42099	0.51593
31135	0.69953
42101	0.73940
42103	0.65162
42105	0.26546
42107	0.61211
42109	0.50931
49009	0.51808
42111	0.59607
42113	0.49252
42115	0.41202
42117	0.46984
42119	0.51473
42121	0.53393
42123	0.54109
42125	0.66571
42127	0.53211
42129	0.64355
37059	0.52698
42133	0.66240
48229	0.35001
51595	0.66132
8043	0.11840
28137	0.42783
34001	0.75317
34003	0.69476
34005	0.72264
34007	0.71486
34009	0.96121
34011	0.74444
34013	0.70557
34015	0.79257
34017	0.71492
34019	0.53408
34021	0.66242
34023	0.70401
34025	0.73157
34027	0.63569
6043	0.59638
34029	0.69514
34031	0.70209
34033	0.75473
40141	0.46380
34035	0.65934
34037	0.60872
34039	0.72260
34041	0.60599
48003	0.39843
39051	0.60664
13137	0.56062
32033	0.34955
48007	0.61741
54055	0.66313
48327	0.51400
37143	0.60593
20031	0.61960
37091	0.71101
13139	0.62816
54057	0.59452
48329	0.56152
26001	0.37107
26003	0.60551
26005	0.60743
13141	0.53655
26007	0.64068
26009	0.55614
26011	0.55646
26013	0.47550
26015	0.55672
26017	0.61281
26019	0.63543
26021	0.67536
40147	0.60111
26023	0.66542
54059	0.65687
26027	0.68332
26029	0.65397
26031	0.63609
26033	0.64718
26035	0.47609
26037	0.62170
48331	0.73242
26039	0.54782
26041	0.55752
26043	0.51350
26045	0.66545
26047	0.63323
46055	0.47477
26049	0.69842
26051	0.27603
26053	0.57344
26055	0.62111
26057	0.63190
26059	0.60830
26061	0.47999
26063	0.59388
26065	0.68872
13143	0.51386
26067	0.58013
26069	0.58505
26071	0.29030
26073	0.66060
26075	0.70544
26077	0.68028
26079	0.53015
26081	0.68349
40149	0.63994
26083	0.55889
26085	0.51005
26087	0.72819
26089	0.63784
26091	0.64135
26093	0.64899
26095	0.49110
26097	0.68316
26099	0.69466
26101	0.49178
26103	0.63086
26105	0.60521
26107	0.54004
26109	0.68029
26111	0.53312
26113	0.30479
26115	0.65796
26117	0.55428
26119	0.37409
26121	0.62649
26123	0.55430
26125	0.63964
26127	0.78495
26129	0.54588
26131	0.49364
26133	0.52923
26135	0.38880
26137	0.41819
26139	0.59884
26141	0.50893
40151	0.51616
26143	0.59938
26145	0.63600
26147	0.69802
26149	0.73685
19147	0.61602
26151	0.61378
26153	0.74351
26155	0.72288
26157	0.47641
48335	0.75926
26159	0.72726
26161	0.67091
26163	0.71021
48433	0.30762
26165	0.49310
18001	0.49663
18003	0.63703
18005	0.56718
18007	0.14339
18009	0.59389
18011	0.52332
18013	0.43577
18015	0.41583
18017	0.59901
18019	0.66907
18021	0.45947
18023	0.47885
18025	0.55686
48337	0.61980
18027	0.49162
18029	0.58906
18031	0.62494
18033	0.63577
18035	0.68246
18037	0.51173
18039	0.74740
18041	0.57715
18043	0.67269
18045	0.50081
18047	0.55715
18049	0.49820
18051	0.55784
18053	0.60216
13149	0.51322
18055	0.50299
18057	0.59650
18059	0.54971
18061	0.55530
18063	0.59972
18065	0.61620
18067	0.53951
18069	0.63246
18071	0.62146
54067	0.51975
18075	0.59012
18077	0.51366
18079	0.69094
18081	0.64832
18083	0.35740
18085	0.54932
18087	0.73950
18089	0.64848
18091	0.51147
18093	0.47468
18095	0.70106
18097	0.68112
18099	0.68337
18101	0.36215
18103	0.64706
18105	0.63006
18107	0.52465
18109	0.51091
48067	0.62660
18111	0.59615
18113	0.71931
18115	0.52905
18117	0.58211
18119	0.50236
18121	0.51491
18123	0.43593
18125	0.49926
18127	0.66012
18129	0.45073
18131	0.54771
54069	0.72342
18135	0.63524
18137	0.54641
18139	0.56891
18141	0.63672
18143	0.61154
18145	0.61019
18147	0.47482
18149	0.54611
18151	0.62071
18153	0.50086
18155	0.39917
